ディープフェイク,でぃーぷふぇいく,deepfake,<ruby><strong>ディープフェイク</strong></ruby>は、<ruby>偽<rt>にせ</rt></ruby>の<ruby>映像<rt>えいぞう</rt></ruby>を<ruby>作<rt>つく</rt></ruby>る<ruby>技術<rt>ぎじゅつ</rt></ruby>であるため、<ruby>倫理的<rt>りんりてき</rt></ruby>な<ruby>問題<rt>もんだい</rt></ruby>がある。,"Deepfake is a technology for creating fake videos, raising ethical concerns."
AIアシスタント,えーあいあしすたんと,AI assistant,<ruby><strong>AIアシスタント</strong></ruby>は、<ruby>日常<rt>にちじょう</rt></ruby>の<ruby>様々<rt>さまざま</rt></ruby>な<ruby>仕事<rt>しごと</rt></ruby>を<ruby>手助<rt>てだす</rt></ruby>けする。,AI assistants help with various daily tasks.
自律エージェント,じりつえーじぇんと,autonomous agent,<ruby><strong>自律エージェント</strong><rt>じりつえーじぇんと</rt></ruby>は、<ruby>自分<rt>じぶん</rt></ruby>で<ruby>判断<rt>はんだん</rt></ruby>して<ruby>行動<rt>こうどう</rt></ruby>できる<ruby>システム<rt></rt></ruby>だ。,Autonomous agents are systems that can make decisions and act independently.
強化学習アルゴリズム,きょうかがくしゅうあるごりずむ,reinforcement learning algorithm,<ruby><strong>強化学習アルゴリズム</strong><rt>きょうかがくしゅうあるごりずむ</rt></ruby>は、<ruby>ロボット<rt></rt></ruby>の<ruby>動作<rt>どうさ</rt></ruby>を<ruby>改善<rt>かいぜん</rt></ruby>するために<ruby>使<rt>つか</rt></ruby>われる。,Reinforcement learning algorithms are used to improve robot movements.
パターン認識,ぱたーんにんしき,pattern recognition,<ruby><strong>パターン認識</strong></ruby>は、<ruby>画像<rt>がぞう</rt></ruby>や<ruby>音声<rt>おんせい</rt></ruby>の<ruby>分析<rt>ぶんせき</rt></ruby>に<ruby>役立<rt>やくだ</rt></ruby>つ。,Pattern recognition helps in analyzing images and sounds.
クラスタリング,くらすたりんぐ,clustering,<ruby><strong>クラスタリング</strong></ruby>は、<ruby>データ<rt></rt></ruby>を<ruby>効率<rt>こうりつ</rt></ruby>的に<ruby>分類<rt>ぶんるい</rt></ruby>する<ruby>方法<rt>ほうほう</rt></ruby>だ。,Clustering is a method for efficiently categorizing data.
フィルタリング,ふぃるたりんぐ,filtering,<ruby><strong>フィルタリング</strong></ruby>は、<ruby>有用<rt>ゆうよう</rt></ruby>な<ruby>情報<rt>じょうほう</rt></ruby>を<ruby>抽出<rt>ちゅうしゅつ</rt></ruby>するのに<ruby>使<rt>つか</rt></ruby>われる。,Filtering is used to extract useful information.
データクレンジング,でーたくれんじんぐ,data cleansing,<ruby><strong>データクレンジング</strong></ruby>は、<ruby>品質<rt>ひんしつ</rt></ruby>の<ruby>高<rt>たか</rt></ruby>い<ruby>データ<rt></rt></ruby>を<ruby>確保<rt>かくほ</rt></ruby>するために<ruby>必要<rt>ひつよう</rt></ruby>だ。,Data cleansing is necessary to ensure high-quality data.
異常検知,いじょうけんち,anomaly detection,<ruby><strong>異常検知</strong><rt>いじょうけんち</rt></ruby>は、<ruby>セキュリティ<rt></rt></ruby>の<ruby>分野<rt>ぶんや</rt></ruby>で<ruby>重要<rt>じゅうよう</rt></ruby>だ。,Anomaly detection is important in the field of security.
ディープニューラルネットワーク,でぃーぷにゅーらるねっとわーく,deep neural network,<ruby><strong>ディープニューラルネットワーク</strong></ruby>は、<ruby>複雑<rt>ふくざつ</rt></ruby>な<ruby>問題<rt>もんだい</rt></ruby>を<ruby>解決<rt>かいけつ</rt></ruby>するのに<ruby>役立<rt>やくだ</rt></ruby>つ。,Deep neural networks help in solving complex problems.
教師あり学習,きょうしありがくしゅう,supervised learning,<ruby><strong>教師あり学習</strong><rt>きょうしありがくしゅう</rt></ruby>は、<ruby>ラベル付<rt>らべるづ</rt></ruby>けされた<ruby>データ<rt></rt></ruby>を<ruby>使<rt>つか</rt></ruby>って<ruby>モデル<rt></rt></ruby>を<ruby>訓練<rt>くんれん</rt></ruby>する<ruby>方法<rt>ほうほう</rt></ruby>だ。,Supervised learning is a method of training models using labeled data.
教師なし学習,きょうしなしがくしゅう,unsupervised learning,<ruby><strong>教師なし学習</strong><rt>きょうしなしがくしゅう</rt></ruby>は、<ruby>ラベル付<rt>らべるづ</rt></ruby>けされていない<ruby>データ<rt></rt></ruby>で<ruby>パターン<rt></rt></ruby>を<ruby>発見<rt>はっけん</rt></ruby>する<ruby>方法<rt>ほうほう</rt></ruby>だ。,Unsupervised learning is a method for discovering patterns in unlabeled data.
半教師あり学習,はんきょうしありがくしゅう,semi-supervised learning,<ruby><strong>半教師あり学習</strong><rt>はんきょうしありがくしゅう</rt></ruby>は、<ruby>一部<rt>いちぶ</rt></ruby>に<ruby>ラベル<rt></rt></ruby>がある<ruby>データ<rt></rt></ruby>で<ruby>学習<rt>がくしゅう</rt></ruby>する<ruby>手法<rt>しゅほう</rt></ruby>だ。,Semi-supervised learning is a technique that uses partially labeled data for learning.
畳み込みニューラルネットワーク,たたみこみにゅーらるねっとわーく,convolutional neural network,<ruby><strong>畳み込みニューラルネットワーク</strong><rt>たたみこみにゅーらるねっとわーく</rt></ruby>は、<ruby>画像<rt>がぞう</rt></ruby>の<ruby>分析<rt>ぶんせき</rt></ruby>に<ruby>適<rt>てき</rt></ruby>している。,Convolutional neural networks are suitable for image analysis.
リカレントニューラルネットワーク,りかれんとにゅーらるねっとわーく,recurrent neural network,<ruby><strong>リカレントニューラルネットワーク</strong><rt>りかれんとにゅーらるねっとわーく</rt></ruby>は、<ruby>時系列<rt>じけいれつ</rt></ruby><ruby>データ<rt></rt></ruby>に<ruby>使<rt>つか</rt></ruby>われる。,Recurrent neural networks are used for time series data.
自然言語生成,しぜんげんごせいせい,natural language generation,<ruby><strong>自然言語生成</strong><rt>しぜんげんごせいせい</rt></ruby>は、<ruby>文章<rt>ぶんしょう</rt></ruby>を<ruby>自動<rt>じどう</rt></ruby>で<ruby>作成<rt>さくせい</rt></ruby>する<ruby>技術<rt>ぎじゅつ</rt></ruby>だ。,Natural language generation is a technology for automatically creating text.
AIデバイステクノロジー,えーあいでばいすてくのろじー,AI device technology,<ruby><strong>AIデバイステクノロジー</strong></ruby>は、<ruby>スマートデバイス<rt></rt></ruby>に<ruby>応用<rt>おうよう</rt></ruby>されている。,AI device technology is applied in smart devices.
データラベリング,でーたらべりんぐ,data labeling,<ruby><strong>データラベリング</strong></ruby>は、<ruby>機械学習<rt>きかいがくしゅう</rt></ruby>の<ruby>前処理<rt>まえしょり</rt></ruby>として<ruby>重要<rt>じゅうよう</rt></ruby>だ。,Data labeling is important as preprocessing in machine learning.
AIセキュリティ,えーあいせきゅりてぃ,AI security,<ruby><strong>AIセキュリティ</strong></ruby>は、<ruby>技術<rt>ぎじゅつ</rt></ruby>の<ruby>発展<rt>はってん</rt></ruby>と<ruby>共<rt>とも</rt></ruby>に<ruby>考慮<rt>こうりょ</rt></ruby>する<ruby>必要<rt>ひつよう</rt></ruby>がある。,AI security needs to be considered alongside technological advancements.
データサンプリング,でーたさんぷりんぐ,data sampling,<ruby><strong>データサンプリング</strong></ruby>は、<ruby>大規模<rt>だいきぼ</rt></ruby><ruby>データ<rt></rt></ruby>から<ruby>重要<rt>じゅうよう</rt></ruby>な<ruby>情報<rt>じょうほう</rt></ruby>を<ruby>抽出<rt>ちゅうしゅつ</rt></ruby>するのに<ruby>役立<rt>やくだ</rt></ruby>つ。,Data sampling helps extract important information from large-scale data.
